NS25 EW13,City Hall,政府大厦,நகர மண்டபம்,12 December 1987,Saint Andrew's,CTH,Downtown Core,East West Line
NS26 EW14,Raffles Place,莱佛士坊,ராஃபிள்ஸ் பிளேஸ்,12 December 1987,Central,RFP,Downtown Core,East West Line
NS27 CE2,Marina Bay,滨海湾,மரீனா பே,4 November 1989,"Telok Ayer Basin, Marina South",MRB,"Downtown Core, Straits View Planning Area",Circle Line
NS28,Marina South Pier,滨海南码头,மரினா சவுத் படகுத்துறை,23 November 2014,"Marina View, Marina Pier",MSP,Straits View Planning Area,Marina South Pier  Marina Bay Cruise Centre
EW1,Pasir Ris,巴西立,பாசிர் ரிஸ்,16 December 1989,Pasir Ris,PSR,Pasir Ris,Pasir Ris
EW2 DT32,Tampines,淡滨尼,தெம்பினிஸ்,16 December 1989,Tampines North,TAM,Tampines,Downtown Line  ― Tampines Tampines Concourse
EW3,Simei,四美,ஸீமெய்,16 December 1989,Tampines South,SIM,Tampines,—
EW4 CG,Tanah Merah,丹那美拉,தானா மேரா,4 November 1989,"Bedok, Changi",TNM,Bedok,EWL Changi Airport Branch Line
EW5,Bedok,勿洛,பிடோக்,4 November 1989,Chai Chee,BDK,Bedok,Bedok
EW6,Kembangan,景万岸,கெம்பாங்கான்,4 November 1989,Frankel,KEM,Bedok,—
EW7,Eunos,友诺士,யூனுஸ்,4 November 1989,Eunos,EUN,Geylang,Eunos
EW8 CC9,Paya Lebar,巴耶利峇,பாய லேபார்,4 November 1989,Paya Lebar,PYL,Geylang,Circle Line
EW9,Aljunied,阿裕尼,அல்ஜூனிட்,4 November 1989,Aljunied,ALJ,Geylang,—
EW10,Kallang,加冷,காலாங்,4 November 1989,Geylang,KAL,Kallang,Lorong 1 Geylang
EW11,Lavender,劳明达,லவண்டர்,4 November 1989,Crawford,LVR,Kallang,—
EW12 DT14,Bugis,武吉士,பூகிஸ்,4 November 1989,"Rochore, Victoria",BGS,"Downtown Core, Rochor",Downtown Line
EW13 NS25,City Hall,政府大厦,நகர மண்டபம்,12 December 1987,Saint Andrew's,CTH,Downtown Core,North South Line
EW14 NS26,Raffles Place,莱佛士坊,ராஃபிள்ஸ் பிளேஸ்,12 December 1987,Central,RFP,Downtown Core,North South Line
EW15,Tanjong Pagar,丹戎巴葛,தஞ்சோங் பகார்,12 December 1987,Maxwell,TPG,Downtown Core,Shenton Way
EW16 NE3,Outram Park,欧南园,ஊட்ரம் பார்க்,12 December 1987,Outram Park,OTP,"Bukit Merah, Outram",North East Line ― Kampong Bahru
EW17,Tiong Bahru,中峇鲁,தியோங் பாரு,12 March 1988,Tiong Bahru,TIB,Bukit Merah,Tiong Bahru
EW18,Redhill,红山,ரெட்ஹில்,12 March 1988,Alexandra,RDH,Bukit Merah,—
EW19,Queenstown,女皇镇,குவீன்ஸ்டவுன்,12 March 1988,"Princess, Commonwealth",QUE,Queenstown,—
EW20,Commonwealth,联邦,காமன்வெல்த்,12 March 1988,Queenstown,COM,Queenstown,—
